10, 0.57413, 0.005
20, 0.07257, 0.005
30, 0.04609, 0.005
40, 0.03711, 0.005
50, 0.03754, 0.005
60, 0.03797, 0.005
70, 0.03212, 0.005
80, 0.03511, 0.005
90, 0.03155, 0.005
100, 0.03089, 0.005
110, 0.03105, 0.005
120, 0.02975, 0.005
130, 0.03123, 0.005
140, 0.02824, 0.005
150, 0.03530, 0.005
160, 0.03191, 0.005
170, 0.03368, 0.005
180, 0.03146, 0.005
190, 0.02934, 0.005
200, 0.02762, 0.005
210, 0.03057, 0.005
220, 0.02830, 0.005
230, 0.02833, 0.005
240, 0.03042, 0.005
250, 0.02672, 0.005
260, 0.03036, 0.005
270, 0.02979, 0.005
280, 0.02504, 0.005
290, 0.02717, 0.005
300, 0.03113, 0.005
310, 0.02695, 0.005
320, 0.02664, 0.005
330, 0.02689, 0.005
340, 0.02436, 0.005
350, 0.02882, 0.005
360, 0.02838, 0.005
370, 0.02779, 0.005
380, 0.02891, 0.005
390, 0.02364, 0.005
400, 0.02603, 0.005
410, 0.02427, 0.005
420, 0.02799, 0.005
430, 0.02381, 0.005
440, 0.02385, 0.005
450, 0.02540, 0.005
460, 0.02611, 0.005
470, 0.02688, 0.005
480, 0.02342, 0.005
490, 0.02289, 0.005
500, 0.02424, 0.005
510, 0.02512, 0.005
520, 0.02067, 0.005
530, 0.02435, 0.005
540, 0.02054, 0.005
550, 0.02498, 0.005
560, 0.02013, 0.005
570, 0.02436, 0.005
580, 0.02456, 0.005
590, 0.02091, 0.005
600, 0.02284, 0.005
610, 0.02348, 0.005
620, 0.02283, 0.005
630, 0.02218, 0.005
640, 0.02270, 0.005
650, 0.02169, 0.005
660, 0.02037, 0.005
670, 0.02238, 0.005
680, 0.02101, 0.005
690, 0.02224, 0.005
700, 0.02332, 0.005
710, 0.01922, 0.005
720, 0.01956, 0.005
730, 0.01994, 0.005
740, 0.02125, 0.005
750, 0.01899, 0.005
760, 0.02028, 0.005
770, 0.02258, 0.005
780, 0.01867, 0.005
790, 0.01980, 0.005
800, 0.02005, 0.005
810, 0.01862, 0.005
820, 0.02001, 0.005
830, 0.01872, 0.005
840, 0.01887, 0.005
850, 0.01889, 0.005
860, 0.01929, 0.005
870, 0.01840, 0.005
880, 0.01793, 0.005
890, 0.01832, 0.005
900, 0.01660, 0.005
910, 0.01858, 0.005
920, 0.01850, 0.005
930, 0.01924, 0.005
940, 0.01834, 0.005
950, 0.02011, 0.005
960, 0.01800, 0.005
970, 0.01877, 0.005
980, 0.01803, 0.005
990, 0.01559, 0.005
1000, 0.01934, 0.005
1010, 0.01760, 0.005
1020, 0.01977, 0.005
1030, 0.01790, 0.005
1040, 0.01651, 0.005
1050, 0.01931, 0.005
1060, 0.01671, 0.005
1070, 0.01657, 0.005
1080, 0.01813, 0.005
1090, 0.01489, 0.005
1100, 0.01528, 0.005
1110, 0.01574, 0.005
1120, 0.01634, 0.005
1130, 0.01556, 0.005
1140, 0.01633, 0.005
1150, 0.01724, 0.005
1160, 0.01367, 0.005
1170, 0.01834, 0.005
1180, 0.01495, 0.005
1190, 0.01916, 0.005
1200, 0.01633, 0.005
1210, 0.01677, 0.005
1220, 0.01606, 0.005
1230, 0.01794, 0.005
1240, 0.01720, 0.005
1250, 0.01686, 0.005
1260, 0.01485, 0.005
1270, 0.01516, 0.005
1280, 0.01545, 0.005
1290, 0.01606, 0.005
1300, 0.01490, 0.005
1310, 0.01556, 0.005
1320, 0.01614, 0.005
1330, 0.01508, 0.005
1340, 0.01588, 0.005
1350, 0.01317, 0.005
1360, 0.01582, 0.005
1370, 0.01464, 0.005
1380, 0.01510, 0.005
1390, 0.01602, 0.005
1400, 0.01400, 0.005
1410, 0.01316, 0.005
1420, 0.01559, 0.005
1430, 0.01392, 0.005
1440, 0.01431, 0.005
1450, 0.01527, 0.005
1460, 0.01583, 0.005
1470, 0.01233, 0.005
1480, 0.01444, 0.005
1490, 0.01306, 0.005
1500, 0.01502, 0.005
1510, 0.01524, 0.005
1520, 0.01350, 0.005
1530, 0.01220, 0.005
1540, 0.01406, 0.005
1550, 0.01417, 0.005
1560, 0.01275, 0.005
1570, 0.01393, 0.005
1580, 0.01310, 0.005
1590, 0.01327, 0.005
1600, 0.01335, 0.005
1610, 0.01436, 0.005
1620, 0.01326, 0.005
1630, 0.01239, 0.005
1640, 0.01288, 0.005
1650, 0.01414, 0.005
1660, 0.01221, 0.005
1670, 0.01209, 0.005
1680, 0.01324, 0.005
1690, 0.01202, 0.005
1700, 0.01279, 0.005
1710, 0.01373, 0.005
1720, 0.01377, 0.005
1730, 0.01239, 0.005
1740, 0.01278, 0.005
1750, 0.01215, 0.005
1760, 0.01253, 0.005
1770, 0.01229, 0.005
1780, 0.01489, 0.005
1790, 0.01266, 0.005
1800, 0.01252, 0.005
1810, 0.01389, 0.005
1820, 0.01364, 0.005
1830, 0.01192, 0.005
1840, 0.01276, 0.005
1850, 0.01263, 0.005
1860, 0.01415, 0.005
1870, 0.01324, 0.005
1880, 0.01263, 0.005
1890, 0.01228, 0.005
1900, 0.01226, 0.005
1910, 0.01380, 0.005
1920, 0.01176, 0.005
1930, 0.01515, 0.005
1940, 0.01293, 0.005
1950, 0.01324, 0.005
1960, 0.01258, 0.005
1970, 0.01173, 0.005
1980, 0.01212, 0.005
1990, 0.01305, 0.005
2000, 0.01127, 0.005
2010, 0.01122, 0.005
2020, 0.01168, 0.005
2030, 0.01204, 0.005
2040, 0.01187, 0.005
2050, 0.01459, 0.005
2060, 0.01286, 0.005
2070, 0.01185, 0.005
2080, 0.01115, 0.005
2090, 0.01172, 0.005
2100, 0.01362, 0.005
2110, 0.01308, 0.005
2120, 0.01297, 0.005
2130, 0.01131, 0.005
2140, 0.01356, 0.005
2150, 0.01086, 0.005
2160, 0.01281, 0.005
2170, 0.01161, 0.005
2180, 0.01106, 0.005
2190, 0.01195, 0.005
2200, 0.01119, 0.005
2210, 0.01149, 0.005
2220, 0.01260, 0.005
2230, 0.01246, 0.005
2240, 0.01154, 0.005
